OrderID,Date,CustomerID,Product,Quantity,UnitPrice,ShippingAddress,PaymentMethod,OrderStatus,TrackingNumber,ItemsInCart,CouponCode,ReferralSource,TotalPrice
ORD200100,2023-02-17,C74866,Phone,3,665,743 Main St,Online,Delivered,TRK53783265,6,NO COUPON,Facebook,1994
ORD200101,2023-11-25,C15283,Printer,1,381,152 Main St,Cash,Shipped,TRK19286291,6,NO COUPON,Google,381
ORD200102,2023-03-08,C18037,Laptop,2,70,944 Main St,Gift Card,Cancelled,TRK47362236,3,FREESHIP,Email,141
ORD200103,2025-01-25,C62656,Phone,4,218,514 Main St,Credit Card,Cancelled,TRK86296459,9,SAVE10,Email,874
ORD200104,2024-07-30,C65744,Phone,1,582,647 Main St,Gift Card,Delivered,TRK39906058,1,FREESHIP,Email,582
ORD200105,2024-10-24,C72290,Printer,3,185,810 Main St,Gift Card,Cancelled,TRK68792129,7,NO COUPON,Facebook,556
ORD200106,2023-09-08,C73514,Desk,3,465,126 Main St,Credit Card,Cancelled,TRK96777924,3,SAVE10,Email,1395
ORD200107,2023-03-27,C16775,Printer,5,671,848 Main St,Gift Card,Shipped,TRK34392124,8,FREESHIP,Instagram,3354
ORD200108,2024-12-28,C33099,Laptop,5,48,522 Main St,Gift Card,Delivered,TRK28522330,9,WINTER15,Email,242
ORD200109,2023-09-17,C51157,Desk,3,593,131 Main St,Gift Card,Shipped,TRK18674578,3,FREESHIP,Referral,1779
ORD200110,2024-04-21,C74562,Tablet,1,221,388 Main St,Gift Card,Pending,TRK32062079,5,FREESHIP,Instagram,221
ORD200111,2025-05-07,C95271,Desk,3,309,620 Main St,Online,Cancelled,TRK74904969,7,FREESHIP,Google,928
ORD200112,2023-01-01,C81366,Monitor,1,411,423 Main St,Online,Cancelled,TRK17062206,2,WINTER15,Referral,411
ORD200113,2024-01-17,C65905,Laptop,5,190,605 Main St,Cash,Shipped,TRK73954365,9,FREESHIP,Instagram,950
ORD200114,2025-01-27,C77272,Monitor,5,498,115 Main St,Online,Pending,TRK29708128,8,SAVE10,Google,2492
ORD200115,2023-11-27,C32580,Phone,5,375,122 Main St,Online,Shipped,TRK23670394,9,SAVE10,Facebook,1875
ORD200116,2023-03-19,C47761,Printer,4,291,109 Main St,Credit Card,Cancelled,TRK66669207,6,WINTER15,Facebook,1165
ORD200117,2023-03-08,C49187,Tablet,1,536,593 Main St,Gift Card,Cancelled,TRK81888598,5,WINTER15,Referral,536
ORD200118,2023-10-09,C27898,Printer,5,503,807 Main St,Gift Card,Shipped,TRK61957665,7,FREESHIP,Google,2514
ORD200119,2025-06-11,C14683,Desk,2,535,187 Main St,Debit Card,Shipped,TRK47373682,7,FREESHIP,Referral,1069
ORD200120,2023-04-11,C58108,Tablet,4,629,986 Main St,Cash,Cancelled,TRK66218053,4,WINTER15,Instagram,2517
ORD200121,2023-11-30,C89822,Desk,1,411,673 Main St,Cash,Cancelled,TRK24138598,1,FREESHIP,Instagram,411
ORD200122,2024-04-15,C96787,Laptop,2,533,588 Main St,Gift Card,Shipped,TRK30422853,2,NO COUPON,Facebook,1066
ORD200123,2023-07-06,C86064,Desk,3,278,727 Main St,Online,Delivered,TRK62182901,5,NO COUPON,Instagram,834
ORD200124,2024-07-28,C97148,Printer,4,284,563 Main St,Online,Pending,TRK85321126,8,NO COUPON,Google,1135
ORD200125,2024-11-06,C91099,Phone,2,513,758 Main St,Credit Card,Shipped,TRK81846174,5,SAVE10,Email,1025
ORD200126,2025-05-03,C55606,Desk,4,276,353 Main St,Gift Card,Shipped,TRK68250319,8,FREESHIP,Google,1102
ORD200127,2023-08-10,C71486,Desk,3,469,365 Main St,Debit Card,Shipped,TRK73929833,3,NO COUPON,Google,1408
ORD200128,2023-02-17,C86408,Tablet,4,21,244 Main St,Gift Card,Delivered,TRK41432648,4,FREESHIP,Google,84
ORD200129,2023-10-27,C52751,Laptop,4,264,427 Main St,Debit Card,Shipped,TRK72481234,4,FREESHIP,Facebook,1056
ORD200130,2025-01-22,C29059,Desk,3,501,513 Main St,Online,Cancelled,TRK88360704,3,WINTER15,Facebook,1504
ORD200131,2023-01-08,C72862,Tablet,1,85,606 Main St,Gift Card,Pending,TRK51648833,5,NO COUPON,Instagram,85
ORD200132,2023-03-28,C96257,Tablet,4,451,583 Main St,Credit Card,Shipped,TRK13137948,6,WINTER15,Email,1803
ORD200133,2025-06-20,C87432,Chair,4,302,636 Main St,Debit Card,Cancelled,TRK68969625,6,SAVE10,Google,1208
ORD200134,2025-06-23,C16253,Laptop,2,200,583 Main St,Cash,Pending,TRK17354894,4,NO COUPON,Email,399
ORD200135,2023-08-04,C79909,Printer,2,69,642 Main St,Gift Card,Shipped,TRK86742257,5,SAVE10,Referral,138
ORD200136,2024-04-27,C73370,Laptop,1,44,595 Main St,Gift Card,Cancelled,TRK67820278,1,SAVE10,Instagram,44
ORD200137,2024-11-26,C50682,Monitor,2,251,598 Main St,Credit Card,Delivered,TRK12242337,5,NO COUPON,Google,502
ORD200138,2023-12-21,C21905,Tablet,1,298,478 Main St,Debit Card,Pending,TRK31863841,3,WINTER15,Google,298
ORD200139,2023-04-10,C61440,Phone,1,584,714 Main St,Cash,Returned,TRK33114521,1,NO COUPON,Email,584
ORD200140,2025-05-31,C33110,Chair,3,528,388 Main St,Online,Delivered,TRK38624225,3,FREESHIP,Email,1584
ORD200141,2023-11-18,C80004,Printer,3,684,151 Main St,Cash,Cancelled,TRK66230753,3,WINTER15,Instagram,2052
ORD200142,2023-09-06,C86374,Desk,5,273,573 Main St,Cash,Pending,TRK79451491,7,WINTER15,Email,1364
ORD200143,2024-06-13,C66521,Chair,4,400,933 Main St,Online,Shipped,TRK34654244,5,NO COUPON,Referral,1600
ORD200144,2023-08-04,C63365,Desk,5,220,895 Main St,Credit Card,Pending,TRK80100887,8,NO COUPON,Facebook,1099
ORD200145,2024-03-02,C85929,Printer,3,147,798 Main St,Credit Card,Delivered,TRK29318610,6,FREESHIP,Google,441
ORD200146,2025-04-30,C84645,Tablet,2,411,404 Main St,Credit Card,Returned,TRK68893369,4,NO COUPON,Instagram,823
ORD200147,2025-05-06,C46316,Laptop,2,465,893 Main St,Credit Card,Cancelled,TRK16196000,2,SAVE10,Google,930
ORD200148,2024-12-15,C35100,Phone,2,320,139 Main St,Credit Card,Cancelled,TRK56853491,3,WINTER15,Google,640
ORD200149,2023-12-27,C39671,Laptop,1,218,174 Main St,Debit Card,Delivered,TRK47153818,3,NO COUPON,Facebook,218
ORD200150,2023-12-13,C25503,Phone,2,106,981 Main St,Debit Card,Returned,TRK29878837,5,WINTER15,Google,211
ORD200151,2023-12-01,C32960,Printer,5,445,947 Main St,Debit Card,Returned,TRK91226500,7,NO COUPON,Email,2224
ORD200152,2025-01-02,C77736,Chair,2,399,659 Main St,Cash,Cancelled,TRK90329250,3,FREESHIP,Referral,798
ORD200153,2024-12-18,C71570,Chair,4,534,437 Main St,Online,Returned,TRK95992269,9,WINTER15,Instagram,2138
ORD200154,2023-07-20,C73587,Phone,4,408,727 Main St,Credit Card,Pending,TRK13955543,9,NO COUPON,Instagram,1633
ORD200155,2023-02-27,C62740,Phone,1,424,446 Main St,Online,Shipped,TRK20706408,6,WINTER15,Referral,424
ORD200156,2024-11-08,C58808,Chair,2,270,651 Main St,Online,Delivered,TRK24451893,4,SAVE10,Email,540
ORD200157,2025-02-21,C50422,Monitor,2,565,636 Main St,Online,Returned,TRK71227815,4,WINTER15,Facebook,1129
ORD200158,2024-05-16,C23334,Tablet,1,331,737 Main St,Credit Card,Pending,TRK46335144,5,WINTER15,Instagram,331
ORD200159,2023-10-31,C48965,Printer,1,299,819 Main St,Credit Card,Cancelled,TRK50921780,5,WINTER15,Email,299
ORD200160,2023-02-17,C38669,Monitor,4,101,240 Main St,Cash,Pending,TRK81738254,7,NO COUPON,Referral,405
ORD200161,2024-03-29,C35091,Monitor,1,211,513 Main St,Credit Card,Cancelled,TRK53784452,1,SAVE10,Facebook,211
ORD200162,2023-07-27,C82313,Chair,3,66,917 Main St,Online,Pending,TRK79854624,8,WINTER15,Google,198
ORD200163,2025-06-24,C99589,Tablet,1,641,277 Main St,Online,Cancelled,TRK16695001,1,NO COUPON,Referral,641
ORD200164,2023-12-28,C70566,Desk,5,537,667 Main St,Gift Card,Pending,TRK49673411,5,SAVE10,Google,2683
ORD200165,2024-09-14,C60355,Monitor,2,500,226 Main St,Online,Returned,TRK30155194,7,WINTER15,Google,1001
ORD200166,2025-03-04,C28889,Chair,3,86,565 Main St,Cash,Delivered,TRK23791726,6,WINTER15,Instagram,259
ORD200167,2023-05-27,C88304,Chair,2,384,219 Main St,Online,Returned,TRK44268941,2,WINTER15,Email,768
ORD200168,2025-01-04,C49517,Printer,1,595,878 Main St,Cash,Returned,TRK78551375,6,NO COUPON,Facebook,595
ORD200169,2024-04-07,C35785,Printer,1,428,732 Main St,Online,Delivered,TRK78923089,2,WINTER15,Email,428
ORD200170,2025-04-04,C80223,Desk,4,663,535 Main St,Cash,Cancelled,TRK68632951,8,SAVE10,Instagram,2652
ORD200171,2023-08-15,C20448,Tablet,2,148,336 Main St,Credit Card,Delivered,TRK67379895,7,WINTER15,Instagram,296
ORD200172,2025-04-06,C34134,Printer,1,254,365 Main St,Online,Delivered,TRK43074303,1,WINTER15,Email,254
ORD200173,2024-03-24,C95901,Phone,3,664,806 Main St,Online,Delivered,TRK56989066,4,FREESHIP,Google,1993
ORD200174,2024-04-16,C51145,Printer,4,601,790 Main St,Debit Card,Delivered,TRK59154274,9,SAVE10,Email,2403
ORD200175,2025-02-08,C78170,Chair,5,68,332 Main St,Debit Card,Pending,TRK71410605,6,WINTER15,Referral,342
ORD200176,2025-06-28,C80151,Tablet,4,431,553 Main St,Gift Card,Pending,TRK88251529,8,WINTER15,Referral,1723
ORD200177,2023-08-05,C55632,Chair,5,432,354 Main St,Credit Card,Pending,TRK13003066,10,NO COUPON,Facebook,2158
ORD200178,2024-04-11,C53070,Chair,4,512,283 Main St,Online,Delivered,TRK49791755,5,SAVE10,Google,2048
ORD200179,2024-11-24,C27401,Laptop,3,540,500 Main St,Credit Card,Delivered,TRK14332053,8,NO COUPON,Email,1620
ORD200180,2023-03-18,C87216,Tablet,5,316,970 Main St,Cash,Returned,TRK18713727,10,NO COUPON,Google,1580
ORD200181,2024-08-31,C38966,Printer,5,404,247 Main St,Online,Shipped,TRK17205146,10,NO COUPON,Referral,2022
ORD200182,2025-03-19,C16612,Desk,1,601,596 Main St,Debit Card,Pending,TRK96188223,4,WINTER15,Google,601
ORD200183,2024-04-18,C39246,Monitor,5,186,258 Main St,Debit Card,Delivered,TRK16658182,8,SAVE10,Email,931
ORD200184,2024-04-04,C65180,Tablet,4,215,231 Main St,Gift Card,Cancelled,TRK39255469,7,NO COUPON,Referral,858
ORD200185,2025-02-02,C46877,Laptop,1,211,572 Main St,Online,Shipped,TRK96935978,2,WINTER15,Referral,211
ORD200186,2023-12-07,C30334,Phone,2,134,322 Main St,Cash,Pending,TRK66388885,7,FREESHIP,Facebook,267
ORD200187,2023-02-08,C21227,Chair,1,591,689 Main St,Gift Card,Returned,TRK79129657,6,FREESHIP,Referral,591
ORD200188,2025-03-15,C97715,Chair,2,364,927 Main St,Gift Card,Shipped,TRK19515949,2,FREESHIP,Referral,728
ORD200189,2023-07-05,C48939,Printer,5,429,597 Main St,Gift Card,Cancelled,TRK62786764,5,WINTER15,Email,2147
ORD200190,2024-08-31,C35483,Printer,3,224,725 Main St,Cash,Returned,TRK79638203,3,SAVE10,Email,671
ORD200191,2025-03-08,C51494,Laptop,2,489,505 Main St,Online,Cancelled,TRK58520306,4,FREESHIP,Google,978
ORD200192,2023-08-11,C58410,Desk,1,645,151 Main St,Gift Card,Cancelled,TRK19749672,5,SAVE10,Google,645
ORD200193,2023-07-21,C11644,Printer,1,47,429 Main St,Cash,Cancelled,TRK81320339,6,NO COUPON,Google,47
ORD200194,2024-06-08,C53501,Monitor,1,250,899 Main St,Cash,Shipped,TRK90144892,3,FREESHIP,Google,250
ORD200195,2024-04-22,C63619,Chair,3,619,801 Main St,Debit Card,Cancelled,TRK65385674,6,NO COUPON,Email,1858
ORD200196,2025-01-24,C40882,Desk,4,217,719 Main St,Cash,Delivered,TRK64165503,8,WINTER15,Email,869
ORD200197,2023-08-27,C80135,Laptop,5,222,723 Main St,Cash,Returned,TRK95222269,5,WINTER15,Referral,1108
ORD200198,2024-06-11,C37594,Laptop,4,340,926 Main St,Cash,Cancelled,TRK94405162,8,SAVE10,Referral,1361
ORD200199,2025-01-23,C87524,Phone,1,625,358 Main St,Online,Returned,TRK21114341,5,WINTER15,Google,625
ORD200200,2025-06-07,C97681,Tablet,5,433,895 Main St,Credit Card,Delivered,TRK37531040,9,SAVE10,Google,2166
ORD200201,2023-06-18,C10126,Monitor,2,675,146 Main St,Online,Shipped,TRK75607531,4,SAVE10,Facebook,1350
ORD200202,2025-02-06,C36938,Monitor,3,254,636 Main St,Credit Card,Cancelled,TRK52522904,3,FREESHIP,Email,762
ORD200203,2025-01-21,C99173,Printer,3,357,172 Main St,Online,Shipped,TRK89849342,5,SAVE10,Instagram,1071
ORD200204,2023-09-05,C99775,Laptop,4,414,478 Main St,Gift Card,Cancelled,TRK21638425,9,FREESHIP,Facebook,1655
ORD200205,2023-03-04,C19266,Desk,3,147,609 Main St,Debit Card,Returned,TRK58357269,3,NO COUPON,Email,442
ORD200206,2024-04-16,C31072,Laptop,4,229,729 Main St,Gift Card,Returned,TRK77172975,8,WINTER15,Email,916
ORD200207,2025-03-18,C54595,Phone,1,122,999 Main St,Debit Card,Delivered,TRK44416659,3,NO COUPON,Google,122
ORD200208,2024-10-08,C87777,Desk,2,408,597 Main St,Online,Shipped,TRK29003608,3,FREESHIP,Facebook,817
ORD200209,2023-08-29,C35854,Tablet,5,188,706 Main St,Cash,Returned,TRK30615168,9,SAVE10,Google,940
ORD200210,2024-12-05,C93821,Chair,3,358,513 Main St,Gift Card,Delivered,TRK10658539,7,FREESHIP,Facebook,1075
ORD200211,2025-01-03,C54390,Printer,3,194,185 Main St,Gift Card,Pending,TRK83853742,7,FREESHIP,Email,581
ORD200212,2023-06-20,C53215,Monitor,1,265,367 Main St,Credit Card,Cancelled,TRK34751835,6,WINTER15,Email,265
ORD200213,2023-04-20,C71122,Laptop,1,634,317 Main St,Cash,Cancelled,TRK54757882,6,SAVE10,Email,634
ORD200214,2024-08-21,C29483,Desk,4,306,673 Main St,Online,Delivered,TRK89423603,5,NO COUPON,Facebook,1223
ORD200215,2023-08-10,C26767,Printer,1,304,432 Main St,Cash,Shipped,TRK24585307,5,FREESHIP,Facebook,304
ORD200216,2025-04-15,C70492,Monitor,4,496,811 Main St,Online,Cancelled,TRK84625405,8,WINTER15,Google,1984
ORD200217,2024-05-20,C61549,Desk,4,322,908 Main St,Cash,Returned,TRK65596914,9,NO COUPON,Google,1286
ORD200218,2023-04-28,C11665,Tablet,3,112,882 Main St,Gift Card,Shipped,TRK10993930,6,SAVE10,Instagram,337
